질병명,상세 정보
외음질염,"9~15세의 사춘기 전 여아에게 흔히 발생하는 부인과 질환으로, 두 번째로 가장 많이 발생하는 연령층은 20~40세에 해당합니다."
외음질염,"외음부 또는 항문 주위 부위의 위생 상태 불량, 꽉 끼는 옷, 화학적 자극제(비누), 항생제 복용 등이 질병을 유발할 수 있는 요인입니다."
외음질염,"증상으로는 흰색 또는 황록색 질 분비물, 때로는 악취(생선 비린내), 외음부 부위의 발적 또는 부기, 질 가려움증, 배뇨 시 작열감, 외음부 가려움증 등이 있습니다."
외음질염,환자를 대상으로 한 임상 문진과 신체 검진을 시행하여 진단할 수 있습니다.
외음질염,"외음부를 씻거나 백리향 또는 카모마일 찻잎을 사용한 충혈 완화 좌욕으로 치료하며, 의사가 적합하다고 판단하는 경우 의심되는 감염 유형에 따라 항진균제/항생제 , 항염증 크림으로 국소 치료를 추가할 수 있습니다. 예외적으로 외음질염이 매우 심한 경우에는 항진균제/경구용 항생제를 사용하여 치료해야 할 수도 있습니다."
외이도염,"'수영 선수의 귀'라고도 알려졌으며, 외이도의 염증으로 정의됩니다."
외이도염,세균 또는 곰팡이에 의한 감염이 원인입니다.
외이도염,"일반적으로 관 염증, 귀 통증(이통), 난청, 고름 분비물 및 발열로 증상이 나타납니다."
외이도염,진단은 병력 확인 및 이경을 통한 귀 검사를 포함한 신체 검사로 이루어집니다.
외이도염,"주요 치료 목표는 통증 관리(진통제 및 항염증제), 감염 치료(국소항생제), 재발 방지(수영 후 소독용 알코올 점이제 사용)입니다."
외이도염 (소아청소년과),외이도의 피부 염증으로 ‘수영 선수의 귀’라고도 알려져 있습니다.
외이도염 (소아청소년과),세균 또는 곰팡이에 의한 감염이 원인입니다.
외이도염 (소아청소년과),"일반적으로 귀 염증, 귀 통증(이통), 난청, 분비물 및 발열과 같은 증상이 나타납니다."
외이도염 (소아청소년과),병력을 확인하고 신체 검진을 진행한 후 이경으로 귀를 검사하여 진단합니다.
외이도염 (소아청소년과),"치료 방법은 통증 조절(진통제 및 항염증제), 감염 치료(국소 항생제), 감염 재발 방지(수영 후 알코올성 점이제 사용)로 구성됩니다."
요골 원위 골절 - 콜리스 골절,"팔에서 가장 흔하게 발생하는 골절입니다. 콜레스 골절이라는 용어는 일반적으로 먼쪽 노뼈 골절을 의미할 때 사용됩니다. 이러한 유형의 골절에 있어서 가장 흔한 원인은 팔을 뻗은 채로 넘어지는 것입니다. 통증, 부기, 영향을 받은 손목을 움직일 수 없는 증상(기능 상실)이 특징입니다. 문진과 신체 검진을 통해 진단을 내리고 손목 X선 촬영을 통해 진단을 확인합니다. 모든 경우에 통증 조절을 위한 진통제와 항염증제를 투여합니다. 비전위 골절의 경우 보통 부목이나 석고붕대로 관절을 고정하는 것으로 충분합니다. 복합 골절 또는 전위된 골절은 수술적 고정이 필요한 경우가 많습니다."
요도 염증 - 요도염,요도(방광에서 신체 바깥으로 소변을 운반하는 관)에 염증이 생기는 것을 요도염이라고 합니다.
요도 염증 - 요도염,"일반적으로 세균 감염(대장균, 나이세리아 임질균 및 클라미디아트라코마티스, 마지막 두 가지는 성관계를 통한 감염임) 또는 바이러스(단순헤르페스바이러스, 거대세포바이러스)가 원인입니다. 그 외 흔하지 않은 원인으로는 외상, 화학적 자극(요도를 통한 배출) 등이 있으며, 원인을 찾을 수 없는 경우도 있습니다."
요도 염증 - 요도염,"여성의 경우 하복부 통증, 배뇨 시 작열감, 발열, 오한, 배뇨 빈도 증가, 질 분비물, 성관계 중 및 골반 통증과 같은 증상이 나타납니다."
요도 염증 - 요도염,"남성의 경우 배뇨 시 불편감, 작열감, 혈뇨, 배뇨 빈도 증가 및 절박뇨, 음경 염증, 성관계 또는 사정 시 통증(때로는 혈액 동반), 서혜부 부위의 림프절 종창 및 발열과 같은 증상을 보입니다."
요도 염증 - 요도염,"진단은 자세한 병력 확인, 신체 검진(직장 검사 포함), 혈액 검사와 소변 검사, 소변 배양 및 요도 분비물 배양(있는 경우), 초음파 및 여성의 경우 임신 검사, 성병 배제 검사 등을 통해 이루어집니다."
요도 염증 - 요도염,치료는 증상을 완화하고 유발 원인을 치료하는 데 중점을 둡니다.
요로 감염 - 방광염,"방광염은 방광의 염증을 일컫는 이름입니다. 방광염은 남성보다 여성에게 더 흔히 발생합니다. 산발성 또는 재발성, 복잡성 또는 단순성으로 분류할 수 있습니다."
요로 감염 - 방광염,원인은 여러 가지가 있지만 가장 흔한 원인은 감염입니다. 일반적으로 감염은 세균에 의해 발생하며 최대 80%의 경우 세균은 대장균입니다.
요로 감염 - 방광염,"가장 흔한 증상은 배뇨 빈도 증가, 배뇨 시 작열감, 탁한 소변, 치골 상부 통증, 미열, 하복부 또는 허리 경련, 몇 분 전에 소변을 본 후에도 또 소변을 보고 싶은 증상 등입니다. 고령자의 경우 쇠약, 발열, 혼돈, 심지어 낙상 등의 증상으로 나타날 수 있습니다."
요로 감염 - 방광염,병력 확인과 소변 검사를 통해 진단할 수 있습니다. 원인 미생물을 찾기 위해서는 소변 배양 검사를 실시해야 합니다. 합병증을 배제하기 위해 영상 검사가 필요할 수 있습니다.
요로 감염 - 방광염,"치료는 유발 원인에 초점을 맞춰 진행됩니다. 감염이 원인인 경우 항생제를 투여합니다. 비약물적 조치로는 물을 충분히 마시고, 항문 부위의 미생물과 비뇨계가 접촉하지 않도록 적절한 위생을 유지하며, 변비를 예방하고, 특히 성관계 전후에 소변을 자주 보는 것 등이 있습니다."
요로 감염 - 방광염 (소아청소년과),방광염이란 일반적으로 위장관의 세균(대장균)에 의한 감염으로 인해 방광에 염증이 생기는 것을 말합니다.
요로 감염 - 방광염 (소아청소년과),"자연적으로 발생하거나 해부학적 요인, 만성 질환, 방광 결석 등으로 인해 발생할 수 있습니다."
요로 감염 - 방광염 (소아청소년과),"증상은 연령에 따라 다르게 나타납니다. 생후 1세 이하의 신생아에게 나타나는 증상은 기력 부족, 식욕부진, 저체온증, 구토, 설사, 발달 저하, 발열 등 비특이적입니다. 1~2세 아동의 경우 일반적으로 성장-체중 발달 정체, 기력 부족, 식욕부진, 위장 증상, 발열 등의 증상이 나타납니다. 2세부터는 배뇨 시 통증, 지속적인 배뇨 충동, 요실금 또는 요폐, 혈뇨, 절박뇨 등의 증상이 더 뚜렷해집니다."
요로 감염 - 방광염 (소아청소년과),진단은 문진과 신체 검진에 기반하여 임상적으로 이루어집니다. 소변 검사와 배양 검사를 실시합니다.
요로 감염 - 방광염 (소아청소년과),"치료는 유발 원인에 초점을 맞춰 진행됩니다. 원인이 전염성인 경우 항생제를 투여해야 합니다. 비약물적 조치로는 충분한 수분 섭취, 항문 부위의 미생물과 요로의 접촉을 피하기 위한 적절한 위생 관리 및 변비 예방 등이 있습니다."
요붕증,"신장이 정상적으로 소변을 농축하지 못해 많은 양의 수분이 소변의 형태로 배출되고, 다량의 희석된 소변이 배설되는 질환입니다(다뇨증: 하루 배출량 3리터 초과)."
요붕증,"소변을 농축하는 호르몬인 항이뇨 호르몬 또는 바소프레신 호르몬이 생성되거나 분비될 때 발생하는 장애가 원인인 경우, 중추성 요붕증이라고 합니다. 가장 흔한 원인은 뇌 수술, 외상, 종양, 감염 및 사르코이드증입니다. 신장이 뇌에서 분비되는 이뇨 호르몬에 반응하지 않아 신장에 장애가 있는 경우, 신장성 요붕증이라고 합니다."
요붕증,증상으로는 소변이 과도하게 생성되고 갈증감이 현저하게 증가합니다.
요붕증,"진단은 임상 문진, 신체 검사, 혈액 및 소변 검사를 통해 이루어집니다. 소변이 농축되지 않는지 확인하기 위해 탈수 검사를 수행해야 합니다."
요붕증,"치료는 유발 원인을 치료하는 것을 목표로 합니다. 원인이 중추성인 경우 호르몬을 코분무기, 정제 또는 정맥주사로 하루에 여러 번 투여합니다. 원인이 신장성인 경우 티아지드를 사용한 약물치료가 가장 일반적입니다."
요추간판탈출 - 허리디스크,"신경근의 감각 또는 운동 기능이 상실되거나 저하되어 다리 아래로 퍼지는 통증, 저림, 쇠약 등의 증상을 유발합니다."
요추간판탈출 - 허리디스크,"가장 흔한 원인은 척추뼈 사이의 퇴행성 디스크로 인해 발생하며, 이 디스크는 척추뼈가 움직일 때 발생하는 충격을 완화하는 쿠션 역할을 합니다. 수분 함량의 일부가 손실되면 디스크는 유연성을 잃고 찢어지거나 파손될 가능성이 높아집니다. 또 다른 결정적인 요인은 비활동적인 생활양식과 척추에 안정성을 제공하는 근육을 운동하지 않는 것입니다."
요추간판탈출 - 허리디스크,"진단은 정확한 임상 병력과 신체 검사를 기반으로 이루어지며, 척추의 변화를 감지하고 영향을 받은 신경과 그 원인을 파악하기 위해 X선, CT 또는 MRI와 같은 추가 검사가 필요합니다. 신경과 근육에 영향을 줄 수 있는 병변의 존재 여부를 평가하기 위해 근전도검사를 실시할 수도 있습니다."
요추간판탈출 - 허리디스크,"급성 통증 치료를 위해 파라세타몰, 비스테로이드소염제(NSAID) 및 아편제제까지 사용됩니다. 경우에 따라 코르티손을 경구로 투여하거나 신경이 눌린 부위 근처에 주사를 통해 주입할 수 있습니다. 통증이 만성화되는 경우 아미트립틸린과 같은 삼환계약제, 가바펜틴, 프레가발린 등 항간질제의 사용과 물리치료를 병행할 수도 있습니다. 심각한 경우 의사는 주로 증상이 있는 신경근의 감압하기 위해 외과적 수술을 지시할 수 있습니다."
요추간판탈출 - 허리디스크,"증상이 나타나면 허리, 회음부 또는 하지에 통증이 생기며, 성기와 항문, 회음부 및 허벅지 피부의 감각 상실, 발기 부전, 변비, 요실금 또는 배뇨 불능과 연관됩니다."
요추간판탈출 - 허리디스크,"일부 증상은 회복이 불가능할 수 있으며, 24시간 이내에 환자의 상태가 악화될 수 있으므로 즉시 치료해야 하는 의학적 응급처치 상황입니다. 신경에 가해지는 압박을 줄이거나 제거하기 위해 응급 외과 감압술이 필요합니다."
용혈-요독증후군 - HUS (소아청소년과),"빈혈, 혈소판 결핍 및 신부전을 특징으로 하는 질병입니다. 생후 1개월에서 3세 사이의 어린이에게 가장 자주 발생합니다."
용혈-요독증후군 - HUS (소아청소년과),가장 흔한 원인은 장내 세균(엔테로박터)으로 인한 위장 감염입니다.
용혈-요독증후군 - HUS (소아청소년과),"처음에는 복통, 발열, 구토, 점액과 혈액이 섞인 설사 등의 위장 임상 증상으로 나타납니다. 3일이 지나면 적혈구가 파괴되어 무력증, 창백 증상과 함께 갈색을 띤 소변을 볼 수 있습니다."
용혈-요독증후군 - HUS (소아청소년과),"진단은 임상 문진, 신체 검진, 혈액 분석을 통해 이루어집니다."
용혈-요독증후군 - HUS (소아청소년과),입원하여 수혈을 받으면서 치료해야 하며 심한 경우에는 투석과 면역억제제 치료가 필요합니다.
우울증 - 우울 장애,"기분(슬픔, 낙담, 불행, 전반적인 우울감, 낮은 자존감, 흥미나 즐거움 상실)에 영향을 미쳐 삶의 여러 영역(개인, 가족, 직장 등)에서 방치를 초래하는 정신 질환입니다."
우울증 - 우울 장애,여성에게 더 많이 진단됩니다(남성은 숨기는 경향이 있음).
우울증 - 우울 장애,"우울증은 심각도, 지속기간, 환경적 제약에 따라 여러 유형으로 구분됩니다."
우울증 - 우울 장애,"우울증의 원인은 스트레스, 열악한 식사, 주로 앉아 있는 생활 방식, 수면 부족, 정서적 실망, 사랑하는 사람의 죽음, 사고에서 생존 등 여러 가지 영향(유전적 요인, 생물학적 요인, 환경적 요인, 심리적 요인)에 따라 달라집니다."
우울증 - 우울 장애,"진단은 상담을 통해 임상적으로 이루어지고 의학적 기준에 따라 다르며, 동일한 증상을 유발하는 다른 질병을 배제합니다. 정신건강의학과에서는 자기 파괴적인 생각을 가진 환자의 자해나 자살 위험을 평가합니다."
우울증 - 우울 장애,"치료에는 약물(주요 우울증 및 정신병), 심리 요법, 행동 관리가 결합됩니다."
우울증 - 우울 장애,"일반적으로 환자가 정신건강의학과 전문의, 심리전문가를 내원하는 것이 바람직한 진행성 질환입니다. 우울증이 자해 행위로 이어지거나, 심각한 장애를 초래하거나(기본 활동에 영향을 미침), 죽음에 대한 생각이 반복적으로 나타날 때에는 응급실로 가십시오."
우유 단백질 알레르기 (소아청소년과),"우유에 존재하는 단백질에 대한 신체의 반응으로, 아기의 면역체계가 이를 이물질로 인식하는 과잉 반응으로 인해 발생합니다. 모유 이후 아기가 섭취하는 첫 번째 음식이기 때문에 첫 번째로 겪는 부작용 중 하나입니다."
우유 단백질 알레르기 (소아청소년과),"두드러기, 발진, 가려움증, 부기(혈관부종), 구토, 설사, 역류, 흡수장애 및 체중 감소가 증상으로 나타납니다."
우유 단백질 알레르기 (소아청소년과),진단은 문진 및 가족력 확인을 통해 임상적으로 이루어집니다. 피부 및 혈액검사 또는 대변 검사를 통해 확진됩니다.
우유 단백질 알레르기 (소아청소년과),경우에 따라 우유 노출 검사를 수행하여 우유가 실제 원인인지 확인합니다. 치료는 우유를 먹이지 않고 모유수유를 하거나 단백질이 없는 다른 우유로 대체하는 것을 기반으로 이루어집니다.
우유 단백질 알레르기 (소아청소년과),"생후 6개월까지는 보조영양을 공급하지 않고 생후 1년까지는 일부 식품(달걀, 생선)을 피하는 것이 좋습니다. 소아청소년과 전문의, 알레르기내과 전문의는 아기의 음식조절과 관련하여 따라야 하는 지침을 제공할 책임이 있습니다."
운동실조 (소아청소년과),소뇌의 질병이나 병변으로 인해 근육이 균형 잡히지 않은 동작을 하는 상태를 말합니다.
운동실조 (소아청소년과),"일반적으로 신진대사의 변화, 생화학, 면역 또는 독성 장애 또는 소뇌의 특정 병변(출혈, 혈류 부재, 감염)으로 인해 발생합니다."
운동실조 (소아청소년과),"징후와 증상으로는 보행 곤란, 떨림, 손의 협응력 및 언어 장애, 시야 흐림 등이 있습니다."
운동실조 (소아청소년과),"진단은 임상 문진, 신체 검진, 신경학적 검사, CT 스캔 및 뇌척수액(CSF) 검사를 위한 요추천자를 통해 이루어집니다."
운동실조 (소아청소년과),"치료는 유발 원인에 따라 달라집니다. 출혈이 있는 경우 수술이 필요할 수 있고, 허혈성 뇌졸중이 있는 경우 항응고제가 필요할 수 있으며, 감염을 치료하기 위해 항생제가 필요할 수 있고, 소뇌 염증을 치료하기 위해 스테로이드가 필요할 수 있습니다."
원숭이두창 바이러스,"동물에게 영향을 미치는 바이러스 감염으로, 때때로 사람에게 전염될 수 있습니다. 아프리카 중부 및 서부 정글의 열대 지역에서 유래한 원숭이두창 바이러스에 의해 발생합니다."
원숭이두창 바이러스,"사람 간 전파는 피부 병변, 타액, 얼굴을 맞대고 밀접하게 접촉하는 호흡기 비말, 침대 시트와 같은 오염된 물질과의 직접적인 접촉을 통해 발생합니다."
원숭이두창 바이러스,"초기에는 발열, 심한 전신 불편감, 두통, 요통 등의 증상이 나타납니다. 두 번째 단계에는 수포 또는 물집과 같은 병변이 피부에 나타납니다. 일반적으로 알려진 천연두 바이러스와 달리, 농포와 딱지로 변하지 않고 물집과 같은 상태를 유지합니다. 병변은 일반적으로 입과 점막에서 시작하여 몸통과 팔다리 쪽으로 퍼집니다. 발진은 림프절의 파종성 염증과 함께 나타납니다."
원숭이두창 바이러스,"진단은 문진과 병변의 신체 검사를 통해 임상적으로 이루어집니다. 병변의 배양, 실험실 검사(중합체 연쇄반응 또는 면역조직화학염색) 또는 전자현미경을 통해 확진됩니다."
원숭이두창 바이러스,"현재로서는 특별한 치료법이 없기 때문에 적절한 수분 공급과 진통제를 통해 증상을 조절하는 것이 기본적인 치료입니다. 효능이 확인되지는 않았지만 테코비리마트, 시도포비르, 브린시도포비르와 같은 항바이러스제가 유용할 수 있습니다. 원숭이두창 백신은 예방에 효과적인 것으로 알려져 있습니다."
원형 탈모증,"신체의 국소 부위에 원형 부분 탈모가 나타나는 질환입니다. 주로 남성의 머리와 수염에 나타나지만 전신에 발생할 수 있으며, 이를 전신 원형 탈모증이라고 합니다. 연구 결과에 따르면 이 질환은 1,000명 중 1명에게 발생할 수 있다고 합니다."
원형 탈모증,유전적 소인이 있는 사람에서 자가면역질환으로 인해 발생합니다.
원형 탈모증,탈모 부위는 둥글고 해당 부위의 피부는 자극이나 염증의 징후 없이 매끄럽고 분홍색을 띱니다.
원형 탈모증,진단은 임상 문진과 신체 검진을 통해 임상적으로 이루어집니다.
원형 탈모증,피하 코르티코스테로이드를 국소 주사하여 치료할 수 있습니다. 효능이 입증되지 않은 실험적인 치료법도 많습니다.
월경불순,"임신 가능성에 대비하기 위해 여성의 신체가 매달 경험하는 일련의 변화를 월경 주기라고 합니다. 매 주기마다 두 난소 중 하나에서 난자를 방출하는 배란이 일어나고, 이와 동시에 난자가 수정되어 착상할 때를 대비해 자궁벽을 수정하는 호르몬 변화가 일어납니다. 난자가 수정되지 않으면 자궁내벽을 이루는 두꺼워진 조직이 월경이라고 알려진 과정에 따라 질을 통해 제거됩니다."
월경불순,"월경 주기는 월경 첫날부터 다음 월경 기간의 첫날까지로 계산합니다. 21~35일 주기로 시작하고 2~7일 동안 지속되며, 달라질 수 있습니다. 처음 몇 년 동안은 주기가 길어질 수 있지만 폐경기에 이르면 주기가 조절되고 짧아지는 경향이 있습니다."
월경불순,"배란이 정상적이지 않은 증상을 ‘난소기능이상’이라고 하며, 폐경 전 배란이 불규칙하거나 배란이 없는 상태입니다."
월경불순,"월경 불순은 여러 원인으로 인해 발생할 수 있으며, 다음과 같은 원인도 포함됩니다."
월경불순,• 임신 또는 수유 중인 경우 월경이 없는 것은 임신의 첫 번째 증상 중 하나일 수 있습니다. 수유는 월경 주기를 차단할 수 있습니다.
월경불순,"• 섭식장애, 극심한 체중감소 또는 과도한 운동"
월경불순,• 다낭성 난소 증후군
월경불순,• 조기 난소 기능부전은 40세가 되기 전에 난소 기능이 상실되는 경우입니다.
월경불순,"난소기능이상이 있는 여성은 월경 전에 유방 통증, 하복부 팽만감 또는 자극과 같은 증상이 반복될 수도 있고 그렇지 않을 수도 있습니다."
월경불순,진단은 부인과 문진과 신체 검사를 통해 임상적으로 이루어집니다. 호르몬 수치를 측정하거나 부인과 초음파검사를 통해 확진할 수 있습니다.
월경불순,현재 치료법은 호르몬을 투여하는 배란유도를 기반으로 합니다.
월경전 긴장 - 월경 전 증후군,"이전 월경이 끝나고 14일이 지난 뒤부터 나타나며, 실제 월경이 시작될 때까지 지속되는 증상입니다. 임신 경험이 한 번 이상 있는 20~40세의 여성에게 더 자주 발생합니다."
월경전 긴장 - 월경 전 증후군,"정확한 원인은 아직 밝혀지지 않았지만 호르몬장애와 관련이 있는 것으로 알려져 있습니다. 사회적, 문화적, 심리적 요인과 같은 다른 요인도 영향을 미칠 수 있습니다. 개인 병력이 있거나 가족 중에 우울증 환자가 있는 여성, 산후우울증을 앓은 여성에게서 더 높은 비율로 나타납니다."
월경전 긴장 - 월경 전 증후군,"가장 흔한 증상은 정서적 증상(불안, 우울, 감정불안정, 과민성, 집중력 문제, 성욕 변화), 불면증과 같은 수면장애, 신체 증상(근육통 및 관절통, 두통, 여드름 발진, 피로감, 부종, 복부 팽만, 변비 또는 설사, 유방 민감성 증가) 등이 있습니다."
월경전 긴장 - 월경 전 증후군,안내에 따른 임상 문진과 완전한 신체 검사를 통해 진단됩니다.
월경전 긴장 - 월경 전 증후군,"특정 치료법은 없으며, 적용되는 치료법은 여성마다 그 효능이 다릅니다. 가장 흔한 약물은 항우울제, 호르몬 피임약, 비스테로이드성 항염증제(NSAID), 이뇨제입니다."
월경전 유방 압통,이 증상은 매달 주기적으로 반복되는 유방 통증이나 불편감을 말합니다. 일반적으로 이 증상은 실제 생리 주기가 시작되기 2주 전부터 발생하여 점차적으로 증가하고 생리가 끝나면 완화됩니다.
월경전 유방 압통,이 증상은 생리 주기의 호르몬 변동과 관련이 있습니다.
월경전 유방 압통,"증상은 양쪽 유방에 통증이 있고 복부 팽창, 과민성, 유방통, 관절통, 허리 통증, 경련과 같은 월경전증후군과 함께 다른 증상과 연관될 수 있습니다."
월경전 유방 압통,진단은 임상 병력 확인 및 신체 검사를 바탕으로 진행됩니다. 어떠한 의심스러운 소견도 없다면 월경전유방통이 있는 대부분의 여성에게 영상 검사가 권장되지 않습니다. 진단에 의심스러운 소견이 있는 경우 다른 병리를 배제하기 위해 유방 스캔이 필요할 수도 있습니다.
월경전 유방 압통,"월경전유방통 치료에는 생활습관 변화(균형식사 및 채소가 풍부하고 포화지방이 적은 다양한 식단 섭취, 담배와 알코올 및 카페인 소비를 줄임) 또는 달맞이꽃 및 체이스트베리(Vitex agnus castus) 보충제 사용이 포함됩니다. 비스테로이드성 항염증제(NSAID)와 특정 이뇨제를 사용하는 것이 효과적일 수 있습니다. 월경 전 불편감이 매우 심할 경우, 주기적인 호르몬 변화를 조절하기 위해 경구 피임약을 복용해도 됩니다. 프로게스테론이 함유된 국소 크림을 사용하여 불편감을 줄일 수도 있습니다."
웨스트나일 바이러스에 의한 2차 감염,플라비바이러스과에 속하는 바이러스에 의해 발생하는 감염병입니다.
웨스트나일 바이러스에 의한 2차 감염,"미국, 멕시코, 중남미, 아프리카, 중동 및 남유럽 전역에 널리 퍼져 있습니다."
웨스트나일 바이러스에 의한 2차 감염,인간뿐만 아니라 새와 말을 무는 집모기에 물려 전염됩니다.
웨스트나일 바이러스에 의한 2차 감염,"감염된 대부분의 사람들은 무증상입니다. 보통 증상이 발생하면 발열, 두통, 관절통, 몸 통증, 구토 및 설사와 같은 소화기 증상 등의 일반적인 증상이 나타나며 피부 발진이 동반될 수 있습니다. 드물지만 고열, 중증의 두통, 목경직, 떨림, 경련, 근육 약화, 감각마비, 근육 마비, 의식수준 저하 등의 형태로 중추신경계(CNS)에 병발하여 혼수 상태를 유발할 수 있습니다. CNS 병발이 중증인 경우 환자가 사망할 수도 있습니다."
웨스트나일 바이러스에 의한 2차 감염,질병의 풍토병 지역에서 모기에 물렸을 때 증상이 나타나므로 의심 진단은 임상적으로 이루어집니다. 혈액 및/또는 뇌척수액 검사를 통해 나일 바이러스에 특이적인 IgM 항체가 검출되면 확진됩니다. 바이러스 배양 및 바이러스 RNA 검사도 수행할 수 있습니다.
웨스트나일 바이러스에 의한 2차 감염,"열이 나는 경우 해열제를, 통증이 있는 경우 진통제를, 수분이 부족한 경우 적절한 수분공급을 통해 증상을 치료해야 합니다.CNS 병발이 중증인 경우, 의식수준이 저하되거나 이완성 마비가 호흡근에 영향을 미치게 되면 기도 보호를 위해 삽관법 및 기계적 인공 호흡이 필요할 수 있습니다."
웨스트나일 바이러스에 의한 2차 감염,이러한 질병을 예방할 수 있는 인체 백신은 없으므로 지역사회 기반의 매개모기 구제 프로그램이 필수적입니다. 개인적 차원에서는 모기에 물리지 않도록 보호 조치를 취하는 것이 좋습니다.
위/십이지장 궤양,점막이라고도 하는 소화관을 감싸고 있는 벽에 생기는 병변입니다.
위/십이지장 궤양,"원인으로는 헬리코박터 파일로리 균에 의한 감염, 흡연, 항염증제 사용 등이 있습니다."
위/십이지장 궤양,"때때로 무증상일 수도 있지만, 가장 흔한 증상은 명치와 상복부의 통증이나 불편감과 속쓰림입니다."
위/십이지장 궤양,천공이나 출혈이 있으면 중증도가 증가할 수 있습니다.
위/십이지장 궤양,진단은 임상 병력과 내시경검사 및 궤양 조직검사와 같은 특정 검사를 통해 이루어집니다.
위/십이지장 궤양,헬리코박터 파일로리 균(있는 경우)을 제거하고 위산 수치를 낮추기 위해 약물로 치료합니다. 커피 섭취를 줄이고 흡연과 음주를 삼가는 것이 권장됩니다.
위내 이물질 - 위 이물,위 이물질은 정상적으로 존재해서는 안 되는 위 내부의 모든 물체를 말합니다.
위내 이물질 - 위 이물,"일반적으로 소아와 고령자층에서 우발적으로 유입되며, 자해 의도가 있는 성인과 지적 장애 또는 각종 정신 장애가 있는 환자(동전, 의치, 장난감, 약품 용기 또는 기타 물품)의 경우 자발적으로 유입됩니다."
위내 이물질 - 위 이물,"이물질은 섭취한 후 기침, 질식 증상, 식도로 내려가는 동안의 통증, 많은 타액 분비와 같은 증상이 나타날 수 있습니다. 이물질이 위장에 도달하면 대개 증상이 진정됩니다."
위내 이물질 - 위 이물,"진단은 사례에 따라 대상 병력 확인, 전체적인 신체 검진, 복부 X선 및 위장 내시경 검사를 실시하여 임상적으로 이루어집니다."
위내 이물질 - 위 이물,일반적으로 내시경을 통해 이물질을 빼내지만 때로는 수술이 필요한 경우도 있습니다.
위식도역류,위의 내용물이 식도로 역류하는 증상입니다.
위식도역류,"하부식도조임근이 제대로 닫히지 않아 발생합니다. 모든 연령대에서 발생할 수 있습니다. 이 질환은 열공탈장, 특정 식품, 식사 후 옆으로 눕는 자세, 복부 압력 및 일부 약물에 의해 유발될 수 있습니다."
위식도역류,"가슴과 목에 작열감과 자극적인 느낌이 있고, 종종 쓰고 신맛이 나는 신물이 올라와 속쓰림 증상이 나타납니다."
위식도역류,진단은 병력 청취와 신체 검사를 통해 이루어집니다. 위장관의 산도를 측정하는 검사를 통해 확인됩니다.
위식도역류,치료는 근본 원인을 예방하고 약물(위 보호제)을 사용하여 속쓰림 증상을 줄이는 것으로 진행됩니다.
위염,위 내부를 감싸고 있는 점막에 염증이 생기는 질환입니다.
위염,"약물 복용, 음주 또는헬리코박터 파일로리 감염을 가장 흔한 원인으로 꼽을 수 있습니다."
위염,"일반적으로는 증상이 나타나지 않지만 증상이 나타나는 경우에는 복통, 식욕부진, 오심 및 구토를 유발할 수 있습니다. 흔하지는 않지만 위장관출혈이 이 과정의 첫 징후일 수 있습니다."
위염,진단은 임상 문진과 신체 검진을 통해 이루어집니다. 혈액 검사와헬리코박터 파일로리 감염 여부를 파악하여 의심 진단을 확인할 수 있습니다.
위염,원인을 치료하고 위산 분비를 저하시키는 약물을 투여해야 합니다.
위장염,감염으로 인해 장의 내부 또는 점막층에 염증이 생기는 것입니다.
위장염,"일반적으로 바이러스(노로바이러스, 로타바이러스, 아데노바이러스, 아스트로바이러스)에 의해 발생하지만 세균 또는 기생충에 의해 발생할 수도 있습니다. 오염된 물이나 음식을 섭취한 후 감염됩니다."
위장염,"오심, 구토, 설사, 복통, 두통, 전반적 불편감, 발열 및 오한과 같은 증상이 나타납니다."
위장염,"진단은 문진과 신체 검진을 통해 이루어지며, 중증도와 원인 물질을 검사하기 위해 혈액 검사와 대변 검사를 실시해야 할 수도 있습니다."
위장염,일반적으로 치료할 필요 없이 저절로 치유되는 질병입니다. 필요한 경우 증상을 치료하고 올바른 양의 수분을 공급해야 합니다. 구토 증상을 완화하기 위해 항구토제를 복용할 수도 있습니다.
위장염 (소아청소년과),감염으로 인해 장의 내부 또는 점막층에 염증이 생기는 것입니다.
위장염 (소아청소년과),"일반적으로 바이러스(노로바이러스, 로타바이러스, 아데노바이러스, 아스트로바이러스)에 의해 발생하지만 세균 또는 기생충에 의해 발생할 수도 있습니다. 오염된 물이나 음식을 섭취한 후 감염됩니다."
위장염 (소아청소년과),"오심, 구토, 설사, 복통, 두통, 전반적 불편감, 발열 및 오한과 같은 증상이 나타납니다."
위장염 (소아청소년과),"진단은 문진과 신체 검진을 통해 이루어지며, 중증도와 원인 물질을 검사하기 위해 혈액 검사와 대변 검사를 실시해야 할 수도 있습니다."
위장염 (소아청소년과),일반적으로 치료할 필요 없이 저절로 치유되는 질병입니다. 필요한 경우 증상을 치료하고 올바른 양의 수분을 공급해야 합니다. 구토 증상을 완화하기 위해 항구토제를 복용할 수도 있습니다.
위천공,위벽에 구멍이 생긴 것을 말합니다.
위천공,가장 흔한 원인은 위벽의 전체 두께에 영향을 미치는 궤양입니다.
위천공,"심한 복통, 오심, 구토, 발열, 오한과 같은 증상이 나타납니다."
위천공,"진단은 임상 병력 확인과 전체적인 신체 검진을 통해 이루어집니다. 추가 검사에는 혈액 검사와 영상 검사(복부 X선, CT 스캔)가 포함됩니다."
위천공,대부분의 경우 천공 부위를 복구하는 수술을 통해 치료합니다.
